step,firm_id,sector,production,emissions,intensity,cash,credits_owned
1,Firm_CE01,Cement,95795.0,88765.70008703145,,64647669.48732473,0.0
1,Firm_PE117,Petrochemicals,86411.0,41820.92641229553,,59042780.758128986,0.0
1,Firm_PE112,Petrochemicals,85288.0,38444.96500165871,,35096836.58623857,0.0
1,Firm_IR61,Iron & Steel,117434.0,251063.70944427152,,106019638.7731518,0.0
1,Firm_FE83,Fertilizer,62530.0,33694.47390392631,,27755020.408407904,0.0
1,Firm_CH50,Chlor-Alkali,69541.0,48957.8013213341,,65118357.27416031,0.0
1,Firm_FE90,Fertilizer,69503.0,39117.3288570228,,43938838.17866934,0.0
1,Firm_FE76,Fertilizer,65495.0,36213.16211932121,,30726175.883335777,0.0
2,Firm_PE113,Petrochemicals,185480.0,50352.50316454366,,42063664.68701849,0.0
2,Firm_CE11,Cement,165114.0,76350.58642352777,,51725756.1623141,0.0
2,Firm_CH48,Chlor-Alkali,103524.0,35943.473576005905,,37544819.08829247,0.0
2,Firm_FE85,Fertilizer,120838.0,33410.17000288859,,29613056.30684992,0.0
2,Firm_AL17,Aluminium,158870.0,119166.86755676931,,82523633.41395938,0.0
2,Firm_PO121,Power,315368.0,133569.97025815048,,69741379.38243267,0.0
2,Firm_PE99,Petroleum Refining,215666.0,109158.805798062,,88477197.88832447,0.0
2,Firm_IR74,Iron & Steel,293638.0,299975.00712753634,,115759030.15441826,0.0
2,Firm_PO129,Power,325640.0,129615.31262242388,,134466433.9514907,0.0
2,Firm_PE115,Petrochemicals,173554.0,43648.757438498586,,68144571.41006312,0.0
2,Firm_IR72,Iron & Steel,243184.0,261216.26141336325,,122634389.10596198,0.0
2,Firm_PE95,Petroleum Refining,202308.0,96062.77550389868,,76803502.52104619,0.0
2,Firm_PE98,Petroleum Refining,219350.0,110174.46592666287,,94568942.6439212,0.0
2,Firm_CH59,Chlor-Alkali,122592.0,38436.84155908874,,67158283.33983779,0.0
2,Firm_PE120,Petrochemicals,176566.0,43274.37378581657,,46762845.534691095,0.0
2,Firm_PE92,Petroleum Refining,201034.0,96297.8058650406,,119454914.92857602,0.0
2,Firm_PE101,Petroleum Refining,213988.0,92536.08799117988,,115264583.57173222,0.0
2,Firm_PO131,Power,356344.0,139090.87117439622,,134201681.12321064,0.0
2,Firm_CH58,Chlor-Alkali,102870.0,34319.5329195348,,40262483.71241096,0.0
2,Firm_CE06,Cement,196282.0,77402.466805364,,77580439.71373083,0.0
2,Firm_PO124,Power,316136.0,134596.20791836045,,95528111.60491842,0.0
2,Firm_PE110,Petrochemicals,177270.0,47584.15627626988,,46234189.482323855,0.0
2,Firm_PE104,Petroleum Refining,182566.0,95340.0592284482,,107488369.66198708,0.0
2,Firm_IR71,Iron & Steel,276012.0,300555.7719890928,,105271129.60185006,0.0
2,Firm_PU41,Pulp & Paper,83980.0,15672.39233590405,,46361705.76058608,0.0
2,Firm_FE83,Fertilizer,125060.0,33694.47390392631,,35108880.81681581,0.0
2,Firm_PU34,Pulp & Paper,107492.0,22954.196656002503,,54687370.88630691,0.0
2,Firm_IR62,Iron & Steel,259518.0,257193.76452988223,,105770787.63615304,0.0
2,Firm_CE14,Cement,198380.0,82958.82073565405,,75484023.01374458,0.0
2,Firm_AL19,Aluminium,172562.0,147534.68696097162,,55328783.18087682,0.0
2,Firm_CE09,Cement,210368.0,83160.78260455816,,45015748.648789816,0.0
2,Firm_AL21,Aluminium,148982.0,118698.37671421964,,52388397.9045894,0.0
2,Firm_PE97,Petroleum Refining,195998.0,87254.3180410283,,84923068.55239236,0.0
